selectionOrdinal,name,family,renderCost,referenceStatus,route,outcome,cluster,refusalCode,primaryDiagnosticCode,diagnosticCodes,dispatch,refuse,similarity,minSimilarity,isPassing,noScoreCause,referenceAvailable,generatedAvailable,width,height
303,giantbitmap_clamp_bilerp_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
304,giantbitmap_clamp_bilerp_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
305,giantbitmap_clamp_point_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
306,giantbitmap_clamp_point_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
307,giantbitmap_mirror_bilerp_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
308,giantbitmap_mirror_bilerp_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
309,giantbitmap_mirror_point_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
310,giantbitmap_mirror_point_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
311,giantbitmap_repeat_bilerp_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
312,giantbitmap_repeat_bilerp_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
313,giantbitmap_repeat_point_rotate,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
314,giantbitmap_repeat_point_scale,IMAGE,non-blocking,trusted,refusal,refused,path-clip,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,unsupported.geometry.path_key_nondeterministic,0,0,,0.0,,generated-render-missing,True,False,640,480
315,grayscalejpg,IMAGE,non-blocking,trusted,gpu,rendered,other,,,,1,0,0.0,0.0,True,,True,True,128,128
316,hugebitmapshader,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,100,100
317,image-cacherator-from-picture,IMAGE,non-blocking,trusted,refusal,refused,strokes,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,unsupported.stroke.rect_anti_alias,0,0,,0.0,,generated-render-missing,True,False,960,450
318,image_dither,IMAGE,non-blocking,trusted,refusal,refused,other,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,unsupported.material.source_unimplemented,0,0,,0.0,,generated-render-missing,True,False,425,110
